
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.16.61.108:49284    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49286    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49288    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49290    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49293    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49296    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49297    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49298    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49299    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49302    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49303    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49308    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49309    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49311    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49316    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49322    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49323    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49325    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49330    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49331    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49332    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49333    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49339    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49340    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49344    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49345    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49347    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49349    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49350    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49351    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49353    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49354    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49357    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49358    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49363    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49366    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49369    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49370    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49371    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49374    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49377    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49378    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49386    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49388    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49392    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49393    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49394    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49397    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49398    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49399    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49405    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49408    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49409    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49410    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49413    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49415    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49417    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49418    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49420    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49422    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49423    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49425    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49427    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49428    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49429    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49432    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49433    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49438    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49439    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49440    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49444    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49446    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49448    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49452    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49453    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49454    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49458    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49461    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49463    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49466    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49467    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49469    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49471    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49472    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49473    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49474    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49476    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49477    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49478    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49481    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49482    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49483    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49485    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49487    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49496    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49499    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49500    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49502    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49503    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49505    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49508    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49509    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49510    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49511    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49513    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49514    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49516    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49517    KBOX:https             CLOSE_WAIT      3212
